2021-12-14 14:12:932 INFO  HomePage :105 - Selecting job type from dropdown: Any[[ChromeDriver: chrome on WINDOWS (45b1ab2cebc101a3490184865875a855)] -> xpath: //select[@id='tempperm']]
2021-12-14 14:12:99 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-14 14:12:813 INFO  HomePage :65 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //button[@id='save']]
2021-12-14 14:12:939 INFO  HomePage :70 - Send text to JobTitle : Retail Manager[[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //input[@id='keywords']]
2021-12-14 14:12:17 INFO  HomePage :75 - Send text to JobLocation : West London[[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //input[@id='location']]
2021-12-14 14:12:99 INFO  HomePage :80 - Select Distance : up to 25 miles[[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //select[@id='distance']]
2021-12-14 14:12:386 INFO  HomePage :85 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //button[@id='toggle-hp-search']]
2021-12-14 14:12:561 INFO  HomePage :90 - Send text to MinSalary : 30000[[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //input[@id='salarymin']]
2021-12-14 14:12:671 INFO  HomePage :95 - Send text to MaxSalary : 50000[[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //input[@id='salarymax']]
2021-12-14 14:12:728 INFO  HomePage :100 - Selecting salary type from dropdown: Per annum[[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //select[@id='salarytype']]
2021-12-14 14:12:806 INFO  HomePage :105 - Selecting job type from dropdown: Permanent[[ChromeDriver: chrome on WINDOWS (521972073939f3bfef5179370a44de12)] -> xpath: //select[@id='tempperm']]
2021-12-14 14:12:977 INFO  ManageDriver :31 - Launching Chrome Browser
